plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
2664,0.95,0.65,1.0,0.3758569937622929,-0.132036661915,0.0,0.0,0.81913817,0.7504896,2.8071408
2665,1.0,0.65,1.0,0.24066356635730854,-0.142473957035,0.0,0.0,1.9051417,0.77091324,2.8221571
2666,1.0,0.65,1.0,0.3833335207205302,-0.158822285953,0.0,0.0,0.94617873,0.56846434,2.10509
2667,1.0,0.65,1.0,0.41727153796985367,-0.10200819241,0.0,0.0,1.1226348,0.72987515,2.7411613
2668,1.0,0.65,1.0,0.35111797302489495,-0.105319809147,0.0,0.0,0.9603278,0.74883664,2.8444023
2669,0.95,0.65,1.0,0.3676197154821822,-0.099792518459,0.0,0.0,0.80314,0.8628508,3.2547307
2670,1.0,0.65,1.0,0.3096688997698999,-0.100388090082,0.0,0.0,1.2389009,0.86294514,3.257752
2671,1.0,0.65,1.0,0.32848235095411826,-0.14553547465,0.0,0.0,0.94059026,0.8546743,3.2579713
2672,1.0,0.65,1.0,0.22976040252818183,-0.113726890054,0.0,0.0,1.4409274,0.9761971,3.6860793
2673,1.0,0.65,1.0,0.1376583065688562,-0.112491339646,0.0,0.0,1.4290138,0.9748487,3.6815832
2674,1.0,0.65,1.0,0.03833351988759342,-0.11973777216,0.0,0.0,1.4266608,0.97328097,3.6742413
2675,1.0,0.65,1.0,0.16430464382654417,-0.117863026198,0.0,0.0,1.4046926,0.97089726,3.6643527
2676,1.0,0.65,1.0,0.07881420680274594,-0.118909238485,0.0,0.0,1.3840176,0.9681985,3.6522114
2677,1.0,0.65,1.0,0.11494919437724753,-0.0846578206934,0.0,0.0,1.3026371,0.96381885,3.6380856
2678,0.95,0.65,1.0,0.0081074757038032,-0.0766342849072,0.0,0.0,0.77715844,0.9600964,3.6222894
2679,1.0,0.65,1.0,0.006620450786051629,-0.0591232852459,0.0,0.0,1.2085247,0.9559087,3.6067495
2680,1.0,0.65,1.0,0.11184609392931609,30.0,0.0,0.0,348.74863,1.8733732,3.589827
2681,0.95,0.65,1.0,0.31335147340678743,-0.1129260232,0.0,0.0,1.2433019,0.64912325,2.2293315
2682,1.0,0.65,1.0,0.3264836090627335,-0.105914180001,0.0,0.0,1.6938026,0.653247,2.248445
2683,1.0,0.7,0.95,0.3134324718421994,-0.133783712232,0.0,0.0,0.20908813,0.6749219,2.2649999
2684,1.0,0.7,1.0,0.3508647154502211,-0.126243720157,0.0,0.0,1.3206255,0.74912906,2.8183308
2685,1.0,0.7,1.0,0.3476960674892003,-0.115963857233,0.0,0.0,1.3279244,0.7522839,2.8332942
2686,1.0,0.7,1.0,0.32054512411445374,-0.106744162979,0.0,0.0,1.3309734,0.7546255,2.8443885
2687,1.0,0.7,1.0,0.3337720827282472,-0.0990032997528,0.0,0.0,1.330875,0.75624985,2.8519752
2688,1.0,0.7,1.0,0.2555471978372406,-0.0925366973302,0.0,0.0,1.3278497,0.7572235,2.856389
2689,1.0,0.7,1.0,0.3086435810340209,-0.109880016392,0.0,0.0,0.7528691,0.740224,2.8579414
2690,1.0,0.7,1.0,0.2888168415530761,-0.106495304765,0.0,0.0,1.4974624,0.987971,3.7494638
2691,1.0,0.7,1.0,0.3340186486062555,-0.0978153587901,0.0,0.0,1.4750595,0.98731923,3.7464693
2692,1.0,0.7,1.0,0.28492322852341967,-0.0981899845515,0.0,0.0,1.4628627,0.9863297,3.7402961
2693,1.0,0.7,1.0,0.2715099295682407,-0.0911056269721,0.0,0.0,1.4332372,0.98446137,3.7312853
2694,1.0,0.7,1.0,0.20018795925391744,-0.0833698455792,0.0,0.0,1.3986399,0.98203504,3.7197695
2695,1.0,0.7,1.0,0.18954701632197737,-0.0822754314709,0.0,0.0,1.3718305,0.9793845,3.7060575
2696,1.0,0.7,1.0,0.03934333657089672,-0.0758641034875,0.0,0.0,1.3334421,0.9761228,3.6904209
2697,1.0,0.7,1.0,0.02330209915942299,-0.0696429075484,0.0,0.0,1.2932446,0.9725075,3.67312
2698,1.0,0.7,1.0,0.16768344157323106,30.0,0.0,0.0,347.0454,1.88575,3.6543956
2699,1.0,0.7,1.0,0.30087582177677663,-0.0928940123805,0.0,0.0,1.2678856,0.73332983,2.714721
2700,1.0,0.7,1.0,0.3045230674420627,-0.0905929868313,0.0,0.0,1.299193,0.7384323,2.739903
2701,0.95,0.7,1.0,0.3307784415233685,-0.0854780749548,0.0,0.0,0.844907,0.7424311,2.7602644
2702,1.0,0.7,1.0,0.33681738156477886,-0.0818724436236,0.0,0.0,1.3400673,0.7457583,2.7776299
2703,1.0,0.7,1.0,0.27913134816252655,-0.0811686823837,0.0,0.0,1.3576229,0.7483405,2.7908063
2704,0.95,0.7,1.0,0.2513355099875458,-0.0801031296014,0.0,0.0,0.8577453,0.75013244,2.8001528
2705,1.0,0.7,1.0,0.2951999589454088,-0.126741222715,0.0,0.0,0.8018809,0.73873186,2.8075166
2706,0.95,0.7,1.0,0.3313489413486282,-0.108180841063,0.0,0.0,0.832535,1.0001192,3.8046172
2707,1.0,0.7,1.0,0.28312628567438236,-0.111227752416,0.0,0.0,1.5716301,1.0007838,3.8092806
2708,1.0,0.7,1.0,0.33062253303186745,-0.0936474186868,0.0,0.0,1.5393287,0.999902,3.8098912
2709,1.0,0.7,1.0,0.3137496680817094,-0.0900738857278,0.0,0.0,1.5254605,0.998842,3.8068864
2710,1.0,0.7,1.0,0.30955812200516075,-0.0892363336184,0.0,0.0,1.5107923,0.99725956,3.8006477
2711,1.0,0.7,1.0,0.3055822772570732,-0.0855267220028,0.0,0.0,1.4862651,0.9950144,3.7915258
2712,1.0,0.7,1.0,0.22708271684089482,-0.0811393585484,0.0,0.0,1.4564301,0.99225086,3.7798507
2713,1.0,0.7,1.0,0.27039918824146586,-0.0743842045222,0.0,0.0,1.4191256,0.98896545,3.7659311
2714,0.95,0.7,1.0,0.07792289475946622,-0.0659533507425,0.0,0.0,0.70236135,0.9852386,3.7500565
2715,1.0,0.7,1.0,0.11124096214125387,-0.065443458859,0.0,0.0,1.347559,0.9817019,3.7344642
2716,1.0,0.7,1.0,0.0973819265454558,-0.0614146094971,0.0,0.0,1.3107356,0.9777269,3.717204
2717,1.0,0.7,1.0,0.04784218032664741,-0.0596535198075,0.0,0.0,1.2757717,0.97357076,3.6985106
2718,1.0,0.7,1.0,0.2530137028269274,30.0,0.0,0.0,346.40823,1.8857439,3.6785922
2719,1.0,0.7,1.0,0.30882578255990606,-0.101093241512,0.0,0.0,1.2555234,0.6811874,2.5434318
2720,1.0,0.7,1.0,0.3278453849740558,-0.100528991278,0.0,0.0,1.1363512,0.701827,2.632713
2721,1.0,0.7,1.0,0.32557669876849143,-0.0998846194789,0.0,0.0,1.1594709,0.7049966,2.6497796
2722,0.95,0.7,1.0,0.3202672004951898,-0.0971561981926,0.0,0.0,0.7003937,0.7127511,2.6625087
2723,1.0,0.7,1.0,0.33018927826148814,-0.0940809768998,0.0,0.0,1.18611,0.709132,2.673009
2724,1.0,0.7,1.0,0.25526007195256434,-0.090589768137,0.0,0.0,1.1921486,0.7102377,2.6797316
2725,1.0,0.7,1.0,0.2779924028048538,-0.0881822300666,0.0,0.0,1.1949093,0.71073455,2.6830318
2726,1.0,0.7,1.0,0.297877152665519,-0.0929877693587,0.0,0.0,0.84714675,0.70647365,2.6832426
2727,1.0,0.7,1.0,0.3354541575080574,-0.093739078954,0.0,0.0,1.2263824,0.8683828,3.3159127
2728,1.0,0.7,1.0,0.2670813533924409,-0.092941170996,0.0,0.0,0.88609934,0.85804677,3.3108978
2729,1.0,0.7,1.0,0.3438361852693115,-0.0903028467771,0.0,0.0,1.4966052,0.99599576,3.816356
2730,0.95,0.7,1.0,0.3349364623467955,-0.0880418859245,0.0,0.0,0.7121998,0.9940812,3.8018973
2731,1.0,0.7,1.0,0.3277881534747366,-0.0854543031904,0.0,0.0,1.4357952,0.9919412,3.7883606
2732,0.95,0.7,1.0,0.28177558574913775,-0.0838534023291,0.0,0.0,0.6924883,0.9891152,3.7685325
2733,1.0,0.7,1.0,0.21682604964620766,-0.0782950463959,0.0,0.0,1.3555657,0.9860227,3.7501447
2734,1.0,0.7,1.0,0.2484788947604813,-0.07412590045,0.0,0.0,1.3078046,0.9823797,3.726363
2735,1.0,0.7,1.0,0.21053360066263446,-0.0693653579383,0.0,0.0,1.2527727,0.97819924,3.698039
2736,1.0,0.7,1.0,0.14718168664897383,-0.0697551976246,0.0,0.0,1.2010198,0.9737734,3.6659086
2737,1.0,0.7,1.0,0.08177040939377155,-0.0673501283237,0.0,0.0,1.1413075,0.96887654,3.6305847
2738,1.0,0.7,1.0,0.07456137459129158,-0.0629586357669,0.0,0.0,1.0763135,0.9636033,3.5926063
2739,1.0,0.7,1.0,0.046234657019987295,-0.0591103910833,0.0,0.0,1.0109023,0.95810544,3.552441
2740,1.0,0.7,1.0,0.14090696073372316,30.0,0.0,0.0,350.84705,1.882588,3.51049
2741,0.95,0.7,1.0,0.3284892761614506,-0.0819044989337,0.0,0.0,0.85066646,0.49067307,1.6178802
2742,0.9,0.7,1.0,0.29624130305294855,-0.0805767757064,0.0,0.0,0.75714684,0.58905405,2.045495
2743,0.95,0.7,1.0,0.31160423722903074,-0.0789509879593,0.0,0.0,1.077114,0.5918459,2.0706573
2744,1.0,0.7,1.0,0.31648557307390246,-0.0774665508754,0.0,0.0,1.1020311,0.59484583,2.0912316
2745,0.95,0.7,1.0,0.3323704084500166,-0.0765441210018,0.0,0.0,0.76612544,0.59773165,2.107589
2746,1.0,0.7,1.0,0.31767263763959136,-0.0764598762858,0.0,0.0,1.1415924,0.5991404,2.121712
2747,1.0,0.7,1.0,0.2562276270562404,-0.158765954817,0.0,0.0,0.6359396,0.6006853,2.1320653
2748,0.95,0.7,1.0,0.3356011747503621,-0.138667283803,0.0,0.0,0.71143913,0.98860884,3.7357502
2749,1.0,0.7,1.0,0.3510141477872582,-0.113732949768,0.0,0.0,1.3749734,0.9889119,3.7471318
