plan#,Ap,Bp,L,F,dp_obs,min_obs_dis,plan_reward,plan_time,obs_dis,loss,mae,mean_q
1610,1.4,0.1,0.55,1.13759742362e-05,3.57433342934,3.59509992599,-1.94,0.0,0.0,0.17181717,4.5407333,-2.7373655
1611,1.45,0.1,0.5,1.0000033949e-05,4.62115478516,4.10532522202,-1.6,0.0,0.0,0.44348878,4.569746,-2.7538075
1612,1.5,0.1,0.45,1.00000046212e-05,4.80446195602,4.47661876678,-1.32,0.0,0.0,0.7612691,4.593566,-2.7667809
1613,1.5,0.15,0.5,1.00135675495e-05,5.03834819794,4.89647102356,-1.06,0.0,0.0,3.755293,4.613541,-2.7760396
1614,1.5,0.15,0.55,1.00018715094e-05,5.3586101532,5.14828062057,-0.78,0.0,0.0,2.4886432,4.628885,-2.7814488
1615,1.55,0.1,0.5,1.00000000004e-05,5.76859617233,5.68534898758,-0.6,0.0,0.0,1.9368417,4.636938,-2.7836316
1616,1.55,0.1,0.55,1e-05,6.00658988953,5.68534898758,100.0,0.0,0.0,5327.856,8.369294,-2.7817075
1617,1.6,0.1,0.5,1e-05,6.11602592468,0.748284578323,-12.396335505834145,0.0,0.0,41.15749,6.7745786,-4.619789
1618,1.55,0.1,0.55,1.00000000004e-05,5.75587511063,0.748269021511,-12.356389898092381,0.0,0.0,36.692924,6.639831,-4.4933453
1619,1.55,0.1,0.6,1.00000000102e-05,5.42540931702,0.992591619492,-11.358494674353267,0.0,0.0,32.989765,6.562671,-4.389862
1620,1.55,0.1,0.65,1.00000004749e-05,5.04406690598,0.85949420929,-11.348350255598008,0.0,0.0,26.90409,6.4763308,-4.3113427
1621,1.55,0.1,0.7,1.00043753328e-05,4.13456773758,0.845512509346,-10.652397117644211,0.0,0.0,22.67076,6.4122696,-4.2533937
1622,1.6,0.1,0.65,1.0113596641e-05,3.81585407257,0.845275402069,-10.353149405268983,0.0,0.0,21.043564,6.366909,-4.2126055
1623,1.6,0.1,0.7,1.26287413355e-05,3.50719571114,0.844974160194,-10.014105434735338,0.0,0.0,19.300945,6.3476124,-4.1856017
1624,1.65,0.1,0.65,5.34038139456e-05,3.22910523415,0.845921456814,-9.811100039112649,0.0,0.0,17.951883,6.321555,-4.171473
1625,1.7,0.1,0.6,0.00166356001999,2.86410593987,0.846974551678,-9.6077623277204,0.0,0.0,16.795004,6.314478,-4.1675406
1626,1.65,0.1,0.6,0.0274328436222,2.58272099495,0.848273932934,-9.3836488697818,0.0,0.0,12.0652275,6.268119,-4.172445
1627,1.65,0.1,0.65,0.491335739358,2.30520009995,0.848044991493,-9.164373243027907,0.0,0.0,14.923189,6.33852,-4.182767
1628,1.7,0.1,0.6,10.0,1.94672322273,0.852352917194,-9.050770678661195,0.0,0.0,13.660931,6.333792,-4.200817
1629,1.7,0.1,0.65,10.0,1.66031968594,0.852700650692,-8.749675240624194,0.0,0.0,12.8058,6.3689117,-4.224577
1630,1.7,0.1,0.6,10.0,1.33615672588,0.653463244438,-8.884089429600602,0.0,0.0,6.8187447,6.294052,-4.254026
1631,1.65,0.15,0.65,10.0,0.737384080887,0.711861610413,-8.186030013449912,0.0,0.0,15.296965,4.237302,-2.4421659
1632,1.65,0.15,0.7,10.0,0.733550190926,0.722620546818,-7.987226901541464,0.0,0.0,16.34049,4.2859287,-2.4757183
1633,1.65,0.15,0.75,10.0,0.765100121498,0.733556509018,-7.728210851610224,0.0,0.0,14.754515,4.3064647,-2.512546
1634,1.7,0.1,0.7,10.0,0.940623044968,0.918006718159,-6.910554981091695,0.0,0.0,10.5302515,4.31004,-2.5520382
1635,1.65,0.1,0.75,10.0,1.23332023621,1.1711909771,-5.930589075975899,0.0,0.0,2.4415078,4.231415,-2.5918741
1636,1.6,0.1,0.75,10.0,1.52717339993,1.36357450485,-5.289714000525189,0.0,0.0,1.1153944,4.240015,-2.6247718
1637,1.6,0.1,0.8,10.0,1.90053629875,1.77126848698,-4.49700450436106,0.0,0.0,1.07812,4.303845,-2.6562307
1638,1.6,0.15,0.75,5.87672776815,2.19717431068,1.59634971619,-9.37728023225474,0.0,0.0,17.617006,4.4675713,-2.6869028
1639,1.6,0.15,0.8,0.648444228247,2.53913140297,2.18022370338,-2.88,0.0,0.0,1.780098,5.920811,-4.036309
1640,1.6,0.15,0.85,0.0749978174369,2.87091040611,2.82313942909,-2.66,0.0,0.0,0.10477346,4.3728347,-2.7504392
1641,1.55,0.2,0.9,0.00142637685561,3.94210934639,3.67469215393,-2.0,0.0,0.0,1.3253235,4.427911,-2.7756886
1642,1.5,0.15,0.9,3.80520854007e-05,4.03862571716,4.03215408325,-1.66,0.0,0.0,2.6920655,4.4654336,-2.7962382
1643,1.45,0.2,0.95,0.000197667211628,4.34026145935,4.34791707993,-1.42,0.0,0.0,2.529184,4.4933963,-2.811986
1644,1.4,0.15,1.0,1.05270633896e-05,4.63741254807,4.65679121017,-1.2,0.0,0.0,3.7291563,4.5150123,-2.8231032
1645,1.4,0.15,1.0,1.00700805441e-05,4.93586874008,4.78002595901,-0.98,0.0,0.0,2.4404428,4.5316224,-2.8305082
1646,1.4,0.15,1.0,1.00057139082e-05,5.30774641037,5.23835039139,-0.88,0.0,0.0,2.6696408,4.5400653,-2.8336477
1647,1.4,0.15,1.0,1.00005295704e-05,5.66105508804,5.6143784523,-0.58,0.0,0.0,3.4010847,4.5524297,-2.8327801
1648,1.45,0.1,0.95,1.00000000001e-05,5.96026182175,5.82000160217,-1.03146809523,0.0,0.0,2.5199475,4.533426,-2.8278258
1649,1.45,0.1,1.0,1e-05,6.24531841278,5.82000160217,100.0,0.0,0.0,5286.047,8.25689,-2.8206894
1650,1.45,0.1,1.0,1e-05,6.13065338135,0.963051140308,-11.860597832131724,0.0,0.0,28.592813,8.032211,-5.4573727
1651,1.45,0.1,1.0,1.00000000856e-05,5.21603059769,1.01426756382,-11.57977392917731,0.0,0.0,27.552313,7.9555464,-5.332165
1652,1.45,0.1,1.0,1.00000058688e-05,4.79321146011,1.465726614,-10.446208037089606,0.0,0.0,21.013926,7.8637533,-5.235325
1653,1.45,0.1,1.0,1.0000155904e-05,4.4692735672,0.724471926689,-11.200591725872489,0.0,0.0,20.230947,7.8182836,-5.1604075
1654,1.45,0.1,1.0,1.00026749096e-05,4.18943357468,0.89637607336,-10.375072651703451,0.0,0.0,30.231567,4.2713733,-2.256395
1655,1.45,0.1,1.0,1.05105879526e-05,3.67081546783,1.00644385815,-9.520821920953452,0.0,0.0,24.337782,4.194416,-2.202779
1656,1.45,0.1,1.0,2.03085803316e-05,3.37579011917,1.04895377159,-9.168416317863008,0.0,0.0,22.208055,4.148188,-2.1642075
1657,1.45,0.1,1.0,0.000287524057573,3.05554533005,1.04909098148,-8.788061185903242,0.0,0.0,19.916641,4.111489,-2.1386082
1658,1.45,0.1,1.0,0.0141972214628,2.67593860626,1.0549737215,-8.652880989142208,0.0,0.0,19.171827,4.0929832,-2.1241264
1659,1.5,0.1,0.95,0.353062812163,2.36730861664,1.05575573444,-8.330869749427265,0.0,0.0,15.912521,4.058214,-2.1194532
1660,1.5,0.1,1.0,5.44304490604,2.11253976822,1.06022715569,-8.179399970037661,0.0,0.0,16.385397,4.072712,-2.121405
1661,1.45,0.15,1.0,10.0,1.3034132719,1.0644544363,-7.648603504077069,0.0,0.0,10.779664,4.0214944,-2.1308875
1662,1.45,0.15,1.0,10.0,1.3034132719,1.06726694107,-7.421445615085973,0.0,0.0,12.2309065,4.0679107,-2.145254
1663,1.45,0.15,1.0,10.0,1.15526461601,1.06974852085,-7.155146633978764,0.0,0.0,10.864804,4.076598,-2.1649063
1664,1.5,0.1,0.95,10.0,1.08099579811,1.07180035114,-6.889950276166385,0.0,0.0,8.517591,4.070295,-2.188966
1665,1.5,0.1,1.0,10.0,1.11014688015,1.10007750988,-6.639412475002982,0.0,0.0,8.3994,4.1044455,-2.2152007
1666,1.45,0.15,1.0,10.0,1.22502779961,1.23993659019,-5.958411812474519,0.0,0.0,3.9994888,4.0647626,-2.2444923
1667,1.45,0.15,1.0,10.0,1.45234107971,1.41630113125,-5.352656985527273,0.0,0.0,3.7971926,4.112577,-2.2744942
1668,1.45,0.15,1.0,10.0,1.705483675,1.695302248,-4.716215027771044,0.0,0.0,2.1842213,4.117825,-2.3053849
1669,1.5,0.1,0.95,10.0,1.98239028454,1.8427836895,-4.270248723612597,0.0,0.0,0.9218988,4.1105146,-2.3361692
1670,1.55,0.1,0.9,1.64443911916,2.28754091263,2.05542445183,-2.98,0.0,0.0,0.0007276958,4.089883,-2.3654568
1671,1.55,0.1,0.95,5.89254601038e-05,3.32194328308,2.78869771957,-2.56,0.0,0.0,0.01090998,4.129081,-2.3919168
1672,1.6,0.1,0.9,4.50449526695e-05,3.35031747818,3.12661600113,-2.26,0.0,0.0,0.2677702,4.1638446,-2.4155743
1673,1.6,0.15,0.95,0.000542120897321,3.62400913239,3.53482556343,-2.02,0.0,0.0,1.6088365,4.1929684,-2.4360864
1674,1.65,0.1,0.9,1.00563739427e-05,3.98906540871,3.9254822731,-1.74,0.0,0.0,0.8280655,4.218932,-2.4527607
1675,1.65,0.1,0.95,1.00029222657e-05,4.28998661041,4.16205978394,-1.46,0.0,0.0,0.86511993,4.241467,-2.4663408
1676,1.6,0.1,1.0,1.00000753082e-05,4.65636634827,4.61836433411,-1.3,0.0,0.0,2.866964,4.256736,-2.4766915
1677,1.65,0.1,0.95,1.00000014154e-05,5.04775094986,4.99210500717,-0.98,0.0,0.0,2.1450856,4.2738795,-2.4838626
1678,1.7,0.1,0.9,1.0000000053e-05,5.37010669708,5.37853384018,-0.72,0.0,0.0,2.717032,4.2852535,-2.4879808
